t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
83400,111910,105255,0.00162832,0,0.001926435,0.00031995,1.87E-05,0,0.002215476,7.73E-05,0.633886391,0.009263
84000,111909,105255,0.00162506,0,0.001932572,0.000320316,1.84E-05,0,0.002212464,7.67E-05,0.636218479,0.009263
84600,111908,105255,0.00162165,0,0.001938737,0.000320689,1.82E-05,0,0.002209471,7.62E-05,0.638556243,0.009263
85200,111906,105255,0.00161818,0,0.001944988,0.000321068,1.79E-05,0,0.002206513,7.57E-05,0.640997253,0.009263
85800,111905,105255,0.00161449,0,0.001951387,0.000321455,1.77E-05,0,0.002203502,7.52E-05,0.643428556,0.009264
86400,111905,105255,0.00161005,0,0.001958315,0.000321849,1.74E-05,0,0.002200516,7.47E-05,0.645874626,0.009264
87000,111904,105255,0.00160614,0,0.001964927,0.00032225,1.72E-05,0,0.002197546,7.42E-05,0.648425215,0.009264
87600,111903,105255,0.00160239,0,0.001971426,0.000322658,1.69E-05,0,0.002194577,7.37E-05,0.651063011,0.009264
88200,111902,105255,0.00159866,0,0.001977916,0.000323072,1.66E-05,0,0.002191588,7.32E-05,0.653697175,0.009265
88800,111902,105255,0.00159453,0,0.001984752,0.000323494,1.64E-05,0,0.00218862,7.27E-05,0.656355162,0.009265
89400,111900,105255,0.00159074,0,0.00199133,0.000323922,1.61E-05,0,0.002185588,7.23E-05,0.659004623,0.009265
90000,111899,105255,0.0015875,0,0.001997557,0.000324357,1.59E-05,0,0.002182545,7.18E-05,0.661712376,0.009265
90600,111898,105255,0.00158368,0,0.002004178,0.000324799,1.58E-05,0,0.002179453,7.13E-05,0.664400791,0.009266
91200,111897,105255,0.00157993,0,0.002010786,0.000325248,1.56E-05,0,0.00217639,7.09E-05,0.667073248,0.009266
91800,111896,105255,0.00157628,0,0.002017351,0.000325704,1.54E-05,0,0.002173328,7.04E-05,0.669754687,0.009266
92400,111895,105255,0.00157246,0,0.002024013,0.000326167,1.53E-05,0,0.002170256,7.00E-05,0.672469719,0.009266
93000,111893,105255,0.00156855,0,0.002030659,0.000326638,1.51E-05,0,0.002167164,6.95E-05,0.675222093,0.009267
93600,111893,105255,0.00156471,0,0.002037265,0.000327114,1.49E-05,0,0.002164168,6.91E-05,0.677959949,0.009267
94200,111892,105255,0.00156085,0,0.002043846,0.000327598,1.47E-05,0,0.002161135,6.86E-05,0.680681379,0.009267
94800,111890,105255,0.00155698,0,0.002050431,0.000328083,1.46E-05,0,0.002158072,6.82E-05,0.68337112,0.009267
95400,111889,105255,0.00155328,0,0.002056902,0.000328577,1.44E-05,0,0.002155078,6.78E-05,0.686025483,0.009268
96000,111887,105255,0.00154958,0,0.002063379,0.000329069,1.42E-05,0,0.002152094,6.74E-05,0.688644217,0.009268
96600,111886,105255,0.00154626,0,0.002069587,0.000329574,1.40E-05,0,0.002149068,6.69E-05,0.691247764,0.009268
97200,111884,105255,0.00154283,0,0.00207597,0.000330098,1.38E-05,0,0.002146102,6.65E-05,0.693840158,0.009269
97800,111883,105255,0.00153907,0,0.002082548,0.000330625,1.37E-05,0,0.002143087,6.61E-05,0.696413266,0.009269
98400,111881,105255,0.00153516,0,0.002089273,0.000331148,1.35E-05,0,0.002140109,6.57E-05,0.698981937,0.009269
99000,111880,105255,0.00153095,0,0.00209622,0.000331683,1.33E-05,0,0.002137121,6.53E-05,0.701530558,0.009269
99600,111879,105255,0.00152705,0,0.002102937,0.000332227,1.31E-05,0,0.002134177,6.49E-05,0.704040481,0.00927
100200,111877,105255,0.00152331,0,0.002109495,0.000332778,1.29E-05,0,0.002131229,6.45E-05,0.706528401,0.00927
100800,111875,105255,0.00151965,0,0.002116022,0.000333334,1.28E-05,0,0.002128248,6.41E-05,0.708979199,0.00927
101400,111874,105255,0.00151585,0,0.002122682,0.000333899,1.26E-05,0,0.002125269,6.37E-05,0.711390758,0.00927
102000,111872,105255,0.0015118,0,0.002129491,0.000334481,1.25E-05,0,0.002122227,6.34E-05,0.713763048,0.009271
102600,111871,105255,0.0015078,0,0.0021363,0.000335065,1.24E-05,0,0.002119235,6.30E-05,0.716112806,0.009271
103200,111870,105255,0.00150381,0,0.002143035,0.000335656,1.22E-05,0,0.002116232,6.26E-05,0.718445482,0.009271
103800,111868,105255,0.00149998,0,0.002149663,0.000336254,1.21E-05,0,0.002113256,6.22E-05,0.720750926,0.009271
104400,111866,105255,0.00149617,0,0.002156234,0.000336807,1.19E-05,0,0.002110277,6.19E-05,0.723026033,0.009272
105000,111864,105255,0.00149211,0,0.002162962,0.000337333,1.18E-05,0,0.002107331,6.15E-05,0.725281319,0.009272
105600,111863,105255,0.00148824,0,0.002169606,0.000337885,1.17E-05,0,0.002104413,6.11E-05,0.727492053,0.009272
106200,111860,105255,0.00148451,0,0.002176074,0.000338444,1.15E-05,0,0.002101522,6.08E-05,0.729673839,0.009272
106800,111858,105255,0.0014806,0,0.002182606,0.000339002,1.14E-05,0,0.002098601,6.04E-05,0.731826525,0.009273
107400,111857,105255,0.00147683,0,0.002188997,0.000339573,1.13E-05,0,0.002095677,6.01E-05,0.73393733,0.009273
108000,111855,105255,0.00147311,0,0.002195359,0.000340153,1.12E-05,0,0.002092771,5.97E-05,0.736002758,0.009273
108600,111853,105255,0.00146944,0,0.002201701,0.000340741,1.11E-05,0,0.002089882,5.94E-05,0.738036251,0.009274
109200,111850,105255,0.0014658,0,0.002207998,0.000341339,1.09E-05,0,0.00208699,5.90E-05,0.740061398,0.009274
109800,111848,105255,0.00146224,0,0.002214209,0.000341944,1.09E-05,0,0.002084085,5.87E-05,0.742046221,0.009274
